# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.045700000000000	55.493950775907993	-6.261801577083455	1.595725883105009e-01	3.047858499467943e+02
0.045866666666667	54.781935884276037	-6.187619308761918	1.612053111591220e-01	3.053703433594515e+02
0.046033333333333	54.082481522204232	-6.114710841919274	1.628466557190324e-01	3.059565280326723e+02
0.046200000000000	53.395308267008336	-6.043048273814807	1.644966244267634e-01	3.065444057614781e+02
0.046366666666667	52.720144139564500	-5.972604437322755	1.661552197823803e-01	3.071339783368290e+02
0.046533333333333	52.056724375030689	-5.903352878405389	1.678224443464416e-01	3.077252475396132e+02
0.046700000000000	51.404791201723745	-5.835267834374217	1.694983007358795e-01	3.083182151330078e+02
0.046866666666667	50.764093625369024	-5.768324212838483	1.711827916330137e-01	3.089128828789459e+02
0.047033333333333	50.134387224249742	-5.702497571475835	1.728759197751758e-01	3.095092525191371e+02
0.047200000000000	49.515433947893201	-5.637764098398838	1.745776879648234e-01	3.101073257934142e+02
0.047366666666667	48.907001926105180	-5.574100593288945	1.762880990593999e-01	3.107071044215694e+02
0.047533333333333	48.308865281480921	-5.511484449087392	1.780071559796865e-01	3.113085901184078e+02
0.047700000000000	47.720803950247040	-5.449893634361620	1.797348617064494e-01	3.119117845878349e+02
0.047866666666667	47.142603509358728	-5.389306676272065	1.814712192756457e-01	3.125166895147671e+02
0.048033333333333	46.574055007275029	-5.329702644051348	1.832162317879475e-01	3.131233065819162e+02
0.048200000000000	46.014954803605456	-5.271061133126024	1.849699023972568e-01	3.137316374502144e+02
0.048366666666667	45.465104410986306	-5.213362249679836	1.867322343204705e-01	3.143416837759222e+02
0.048533333333333	44.924310344386352	-5.156586595790326	1.885032308327215e-01	3.149534472027388e+02
0.048700000000000	44.392383975313039	-5.100715255054174	1.902828952630451e-01	3.155669293549960e+02
0.048866666666667	43.869141389024797	-5.045729778635438	1.920712310035053e-01	3.161821318533400e+02
0.049033333333333	43.354403248822459	-4.991612171838152	1.938682415009973e-01	3.167990563014443e+02
0.049200000000000	42.847994663826802	-4.938344881090817	1.956739302560183e-01	3.174177042846328e+02
0.049366666666667	42.349745060200799	-4.885910781330086	1.974883008285327e-01	3.180380773800139e+02
0.049533333333333	41.859488057598133	-4.834293163822585	1.993113568360368e-01	3.186601771537311e+02
0.049700000000000	41.377061349658043	-4.783475724380424	2.011431019511992e-01	3.192840051576823e+02
0.049866666666667	40.902306588542595	-4.733442551964516	2.029835398979995e-01	3.199095629240342e+02
0.050033333333333	40.435069271714233	-4.684178117605409	2.048326744602809e-01	3.205368519794199e+02
0.050200000000000	39.975198634747419	-4.635667263751075	2.066905094700165e-01	3.211658738270355e+02
0.050366666666667	39.522547544884354	-4.587895193875891	2.085570488189171e-01	3.217966299655252e+02
0.050533333333333	39.076972400797043	-4.540847462497904	2.104322964450211e-01	3.224291218687647e+02
0.050700000000000	38.638333032848328	-4.494509965436526	2.123162563436096e-01	3.230633510035160e+02
0.050866666666667	38.206492608319804	-4.448868930427203	2.142089325616411e-01	3.236993188214691e+02
