# r [fm]	u_real	u_imag	|u|^2	du_real	du_imag	|du|^2
2.669000	-0.270217	-0.001837	0.073021	-0.934897	0.001027	0.874034
2.670000	-0.271152	-0.001836	0.073527	-0.934430	0.001031	0.873161
2.671000	-0.272086	-0.001835	0.074034	-0.933962	0.001035	0.872286
2.672000	-0.273020	-0.001834	0.074543	-0.933492	0.001039	0.871408
2.673000	-0.273953	-0.001833	0.075054	-0.933020	0.001043	0.870527
2.674000	-0.274886	-0.001832	0.075566	-0.932546	0.001047	0.869644
2.675000	-0.275818	-0.001831	0.076079	-0.932071	0.001051	0.868758
2.676000	-0.276750	-0.001830	0.076594	-0.931615	0.001055	0.867907
2.677000	-0.277682	-0.001829	0.077110	-0.931380	0.001057	0.867470
2.678000	-0.278613	-0.001828	0.077629	-0.931368	0.001057	0.867447
2.679000	-0.279544	-0.001827	0.078148	-0.931375	0.001057	0.867461
2.680000	-0.280476	-0.001825	0.078670	-0.931383	0.001057	0.867476
2.681000	-0.281407	-0.001824	0.079193	-0.931391	0.001057	0.867491
2.682000	-0.282339	-0.001823	0.079718	-0.931399	0.001057	0.867505
2.683000	-0.283270	-0.001822	0.080245	-0.931407	0.001057	0.867520
2.684000	-0.284201	-0.001821	0.080774	-0.931415	0.001057	0.867535
2.685000	-0.285133	-0.001820	0.081304	-0.931423	0.001056	0.867550
2.686000	-0.286064	-0.001819	0.081836	-0.931431	0.001056	0.867564
2.687000	-0.286996	-0.001818	0.082370	-0.931439	0.001056	0.867579
2.688000	-0.287927	-0.001817	0.082905	-0.931447	0.001056	0.867594
2.689000	-0.288859	-0.001816	0.083443	-0.931455	0.001056	0.867609
2.690000	-0.289790	-0.001815	0.083982	-0.931463	0.001056	0.867624
2.691000	-0.290721	-0.001814	0.084522	-0.931471	0.001056	0.867639
2.692000	-0.291653	-0.001813	0.085065	-0.931479	0.001056	0.867654
2.693000	-0.292584	-0.001812	0.085609	-0.931487	0.001056	0.867670
2.694000	-0.293516	-0.001811	0.086155	-0.931495	0.001056	0.867685
2.695000	-0.294447	-0.001810	0.086703	-0.931504	0.001056	0.867700
2.696000	-0.295379	-0.001809	0.087252	-0.931512	0.001056	0.867715
2.697000	-0.296310	-0.001808	0.087803	-0.931520	0.001056	0.867731
2.698000	-0.297242	-0.001806	0.088356	-0.931528	0.001056	0.867746
2.699000	-0.298173	-0.001805	0.088911	-0.931537	0.001056	0.867761
2.700000	-0.299105	-0.001804	0.089467	-0.931545	0.001056	0.867777
2.701000	-0.300037	-0.001803	0.090025	-0.931549	0.001056	0.867785
2.702000	-0.300968	-0.001802	0.090585	0.281038	0.000000	0.078982
