# E_lab [MeV]	L_real	L_imag	|L|
0.057500	4.850118	-0.017905	4.850151
0.057667	4.850079	-0.017905	4.850112
0.057833	4.850040	-0.017904	4.850073
0.058000	4.850001	-0.017904	4.850034
0.058167	4.849961	-0.017904	4.849994
0.058333	4.849922	-0.017904	4.849955
0.058500	4.849883	-0.017903	4.849916
0.058667	4.849844	-0.017903	4.849877
0.058833	4.849805	-0.017903	4.849838
0.059000	4.849765	-0.017903	4.849798
0.059167	4.849726	-0.017902	4.849759
0.059333	4.849687	-0.017902	4.849720
0.059500	4.849648	-0.017902	4.849681
0.059667	4.849608	-0.017902	4.849641
0.059833	4.849569	-0.017901	4.849602
0.060000	4.849530	-0.017901	4.849563
0.060167	4.849491	-0.017901	4.849524
0.060333	4.849451	-0.017901	4.849484
0.060500	4.849412	-0.017900	4.849445
0.060667	4.849373	-0.017900	4.849406
0.060833	4.849334	-0.017900	4.849367
0.061000	4.849295	-0.017900	4.849328
0.061167	4.849255	-0.017899	4.849288
0.061333	4.849216	-0.017899	4.849249
0.061500	4.849177	-0.017899	4.849210
0.061667	4.849138	-0.017899	4.849171
0.061833	4.849098	-0.017898	4.849131
0.062000	4.849059	-0.017898	4.849092
0.062167	4.849020	-0.017898	4.849053
0.062333	4.848981	-0.017897	4.849014
0.062500	4.848942	-0.017897	4.848975
0.062667	4.848902	-0.017897	4.848935
0.062833	4.848863	-0.017897	4.848896
0.063000	4.848824	-0.017896	4.848857
0.063167	4.848785	-0.017896	4.848818
0.063333	4.848745	-0.017896	4.848778
0.063500	4.848706	-0.017896	4.848739
0.063667	4.848667	-0.017895	4.848700
0.063833	4.848628	-0.017895	4.848661
0.064000	4.848589	-0.017895	4.848622
0.064167	4.848549	-0.017895	4.848582
0.064333	4.848510	-0.017894	4.848543
0.064500	4.848471	-0.017894	4.848504
0.064667	4.848432	-0.017894	4.848465
0.064833	4.848392	-0.017894	4.848425
0.065000	4.848353	-0.017893	4.848386
0.065167	4.848314	-0.017893	4.848347
0.065333	4.848275	-0.017893	4.848308
0.065500	4.848236	-0.017893	4.848269
0.065667	4.848196	-0.017892	4.848229
0.065833	4.848157	-0.017892	4.848190
0.066000	4.848118	-0.017892	4.848151
0.066167	4.848079	-0.017891	4.848112
0.066333	4.848040	-0.017891	4.848073
0.066500	4.848000	-0.017891	4.848033
0.066667	4.847961	-0.017891	4.847994
0.066833	4.847922	-0.017890	4.847955
0.067000	4.847883	-0.017890	4.847916
0.067167	4.847844	-0.017890	4.847877
0.067333	4.847804	-0.017890	4.847837
0.067500	4.847765	-0.017889	4.847798
0.067667	4.847726	-0.017889	4.847759
0.067833	4.847687	-0.017889	4.847720
0.068000	4.847647	-0.017889	4.847680
0.068167	4.847608	-0.017888	4.847641
0.068333	4.847569	-0.017888	4.847602
0.068500	4.847530	-0.017888	4.847563
0.068667	4.847491	-0.017888	4.847524
0.068833	4.847451	-0.017887	4.847484
0.069000	4.847412	-0.017887	4.847445
0.069167	4.847373	-0.017887	4.847406
0.069333	4.847334	-0.017887	4.847367
0.069500	4.847295	-0.017886	4.847328
0.069667	4.847255	-0.017886	4.847288
0.069833	4.847216	-0.017886	4.847249
0.070000	4.847177	-0.017886	4.847210
0.070167	4.847138	-0.017885	4.847171
0.070333	4.847099	-0.017885	4.847132
0.070500	4.847059	-0.017885	4.847092
0.070667	4.847020	-0.017884	4.847053
0.070833	4.846981	-0.017884	4.847014
0.071000	4.846942	-0.017884	4.846975
0.071167	4.846903	-0.017884	4.846936
0.071333	4.846863	-0.017883	4.846896
0.071500	4.846824	-0.017883	4.846857
0.071667	4.846785	-0.017883	4.846818
0.071833	4.846746	-0.017883	4.846779
0.072000	4.846707	-0.017882	4.846740
0.072167	4.846668	-0.017882	4.846700
0.072333	4.846628	-0.017882	4.846661
0.072500	4.846589	-0.017882	4.846622
0.072667	4.846550	-0.017881	4.846583
0.072833	4.846511	-0.017881	4.846544
0.073000	4.846472	-0.017881	4.846505
0.073167	4.846432	-0.017881	4.846465
0.073333	4.846393	-0.017880	4.846426
0.073500	4.846354	-0.017880	4.846387
0.073667	4.846315	-0.017880	4.846348
0.073833	4.846276	-0.017880	4.846309
0.074000	4.846236	-0.017879	4.846269
0.074167	4.846197	-0.017879	4.846230
0.074333	4.846158	-0.017879	4.846191
0.074500	4.846119	-0.017879	4.846152
0.074667	4.846080	-0.017878	4.846113
0.074833	4.846040	-0.017878	4.846073
0.075000	4.846001	-0.017878	4.846034
0.075167	4.845962	-0.017878	4.845995
0.075333	4.845923	-0.017877	4.845956
0.075500	4.845884	-0.017877	4.845917
0.075667	4.845845	-0.017877	4.845878
0.075833	4.845805	-0.017876	4.845838
0.076000	4.845766	-0.017876	4.845799
0.076167	4.845727	-0.017876	4.845760
0.076333	4.845688	-0.017876	4.845721
0.076500	4.845649	-0.017875	4.845682
0.076667	4.845609	-0.017875	4.845642
0.076833	4.845570	-0.017875	4.845603
0.077000	4.845531	-0.017875	4.845564
0.077167	4.845492	-0.017874	4.845525
0.077333	4.845453	-0.017874	4.845486
0.077500	4.845414	-0.017874	4.845447
0.077667	4.845374	-0.017874	4.845407
0.077833	4.845335	-0.017873	4.845368
0.078000	4.845296	-0.017873	4.845329
0.078167	4.845257	-0.017873	4.845290
0.078333	4.845218	-0.017873	4.845251
0.078500	4.845179	-0.017872	4.845212
0.078667	4.845139	-0.017872	4.845172
0.078833	4.845100	-0.017872	4.845133
0.079000	4.845061	-0.017872	4.845094
0.079167	4.845022	-0.017871	4.845055
0.079333	4.844983	-0.017871	4.845016
0.079500	4.844944	-0.017871	4.844976
0.079667	4.844904	-0.017871	4.844937
0.079833	4.844865	-0.017870	4.844898
0.080000	4.844826	-0.017870	4.844859
0.080167	4.844787	-0.017870	4.844820
0.080333	4.844748	-0.017869	4.844781
0.080500	4.844709	-0.017869	4.844741
0.080667	4.844669	-0.017869	4.844702
0.080833	4.844630	-0.017869	4.844663
0.081000	4.844591	-0.017868	4.844624
0.081167	4.844552	-0.017868	4.844585
0.081333	4.844513	-0.017868	4.844546
0.081500	4.844474	-0.017868	4.844506
0.081667	4.844434	-0.017867	4.844467
0.081833	4.844395	-0.017867	4.844428
0.082000	4.844356	-0.017867	4.844389
0.082167	4.844317	-0.017867	4.844350
0.082333	4.844278	-0.017866	4.844311
0.082500	4.844239	-0.017866	4.844272
0.082667	4.844199	-0.017866	4.844232
0.082833	4.844160	-0.017866	4.844193
0.083000	4.844121	-0.017865	4.844154
0.083167	4.844082	-0.017865	4.844115
0.083333	4.844043	-0.017865	4.844076
0.083500	4.844004	-0.017865	4.844037
0.083667	4.843964	-0.017864	4.843997
0.083833	4.843925	-0.017864	4.843958
0.084000	4.843886	-0.017864	4.843919
0.084167	4.843847	-0.017864	4.843880
0.084333	4.843808	-0.017863	4.843841
0.084500	4.843769	-0.017863	4.843802
0.084667	4.843730	-0.017863	4.843762
0.084833	4.843690	-0.017862	4.843723
0.085000	4.843651	-0.017862	4.843684
0.085167	4.843612	-0.017862	4.843645
0.085333	4.843573	-0.017862	4.843606
0.085500	4.843534	-0.017861	4.843567
0.085667	4.843495	-0.017861	4.843528
0.085833	4.843455	-0.017861	4.843488
0.086000	4.843416	-0.017861	4.843449
0.086167	4.843377	-0.017860	4.843410
0.086333	4.843338	-0.017860	4.843371
0.086500	4.843299	-0.017860	4.843332
0.086667	4.843260	-0.017860	4.843293
0.086833	4.843221	-0.017859	4.843253
0.087000	4.843181	-0.017859	4.843214
0.087167	4.843142	-0.017859	4.843175
0.087333	4.843103	-0.017859	4.843136
0.087500	4.843064	-0.017858	4.843097
0.087667	4.843025	-0.017858	4.843058
0.087833	4.842986	-0.017858	4.843019
0.088000	4.842947	-0.017858	4.842979
0.088167	4.842907	-0.017857	4.842940
0.088333	4.842868	-0.017857	4.842901
0.088500	4.842829	-0.017857	4.842862
0.088667	4.842790	-0.017857	4.842823
0.088833	4.842751	-0.017856	4.842784
0.089000	4.842712	-0.017856	4.842745
0.089167	4.842673	-0.017856	4.842705
0.089333	4.842633	-0.017856	4.842666
0.089500	4.842594	-0.017855	4.842627
0.089667	4.842555	-0.017855	4.842588
0.089833	4.842516	-0.017855	4.842549
0.090000	4.842477	-0.017854	4.842510
0.090167	4.842438	-0.017854	4.842471
0.090333	4.842399	-0.017854	4.842431
0.090500	4.842359	-0.017854	4.842392
0.090667	4.842320	-0.017853	4.842353
0.090833	4.842281	-0.017853	4.842314
0.091000	4.842242	-0.017853	4.842275
0.091167	4.842203	-0.017853	4.842236
0.091333	4.842164	-0.017852	4.842197
0.091500	4.842125	-0.017852	4.842158
0.091667	4.842085	-0.017852	4.842118
0.091833	4.842046	-0.017852	4.842079
0.092000	4.842007	-0.017851	4.842040
0.092167	4.841968	-0.017851	4.842001
0.092333	4.841929	-0.017851	4.841962
0.092500	4.841890	-0.017851	4.841923
0.092667	4.841851	-0.017850	4.841884
0.092833	4.841812	-0.017850	4.841844
0.093000	4.841772	-0.017850	4.841805
0.093167	4.841733	-0.017850	4.841766
0.093333	4.841694	-0.017849	4.841727
0.093500	4.841655	-0.017849	4.841688
0.093667	4.841616	-0.017849	4.841649
0.093833	4.841577	-0.017849	4.841610
0.094000	4.841538	-0.017848	4.841571
0.094167	4.841499	-0.017848	4.841531
0.094333	4.841459	-0.017848	4.841492
0.094500	4.841420	-0.017848	4.841453
0.094667	4.841381	-0.017847	4.841414
0.094833	4.841342	-0.017847	4.841375
0.095000	4.841303	-0.017847	4.841336
0.095167	4.841264	-0.017846	4.841297
0.095333	4.841225	-0.017846	4.841258
0.095500	4.841186	-0.017846	4.841218
0.095667	4.841146	-0.017846	4.841179
0.095833	4.841107	-0.017845	4.841140
0.096000	4.841068	-0.017845	4.841101
0.096167	4.841029	-0.017845	4.841062
0.096333	4.840990	-0.017845	4.841023
0.096500	4.840951	-0.017844	4.840984
0.096667	4.840912	-0.017844	4.840945
0.096833	4.840873	-0.017844	4.840905
0.097000	4.840833	-0.017844	4.840866
0.097167	4.840794	-0.017843	4.840827
0.097333	4.840755	-0.017843	4.840788
0.097500	4.840716	-0.017843	4.840749
0.097667	4.840677	-0.017843	4.840710
0.097833	4.840638	-0.017842	4.840671
0.098000	4.840599	-0.017842	4.840632
0.098167	4.840560	-0.017842	4.840593
0.098333	4.840521	-0.017842	4.840553
0.098500	4.840481	-0.017841	4.840514
0.098667	4.840442	-0.017841	4.840475
0.098833	4.840403	-0.017841	4.840436
0.099000	4.840364	-0.017841	4.840397
0.099167	4.840325	-0.017840	4.840358
0.099333	4.840286	-0.017840	4.840319
0.099500	4.840247	-0.017840	4.840280
0.099667	4.840208	-0.017840	4.840241
0.099833	4.840169	-0.017839	4.840201
0.100000	4.840129	-0.017839	4.840162
0.100167	4.840090	-0.017839	4.840123
0.100333	4.840051	-0.017838	4.840084
0.100500	4.840012	-0.017838	4.840045
0.100667	4.839973	-0.017838	4.840006
0.100833	4.839934	-0.017838	4.839967
0.101000	4.839895	-0.017837	4.839928
0.101167	4.839856	-0.017837	4.839889
0.101333	4.839817	-0.017837	4.839849
0.101500	4.839778	-0.017837	4.839810
0.101667	4.839738	-0.017836	4.839771
0.101833	4.839699	-0.017836	4.839732
0.102000	4.839660	-0.017836	4.839693
0.102167	4.839621	-0.017836	4.839654
0.102333	4.839582	-0.017835	4.839615
0.102500	4.839543	-0.017835	4.839576
0.102667	4.839504	-0.017835	4.839537
0.102833	4.839465	-0.017835	4.839498
0.103000	4.839426	-0.017834	4.839458
0.103167	4.839386	-0.017834	4.839419
0.103333	4.839347	-0.017834	4.839380
0.103500	4.839308	-0.017834	4.839341
0.103667	4.839269	-0.017833	4.839302
0.103833	4.839230	-0.017833	4.839263
0.104000	4.839191	-0.017833	4.839224
0.104167	4.839152	-0.017833	4.839185
0.104333	4.839113	-0.017832	4.839146
0.104500	4.839074	-0.017832	4.839107
0.104667	4.839035	-0.017832	4.839067
0.104833	4.838996	-0.017832	4.839028
0.105000	4.838956	-0.017831	4.838989
0.105167	4.838917	-0.017831	4.838950
0.105333	4.838878	-0.017831	4.838911
0.105500	4.838839	-0.017830	4.838872
0.105667	4.838800	-0.017830	4.838833
0.105833	4.838761	-0.017830	4.838794
0.106000	4.838722	-0.017830	4.838755
0.106167	4.838683	-0.017829	4.838716
0.106333	4.838644	-0.017829	4.838677
0.106500	4.838605	-0.017829	4.838637
0.106667	4.838566	-0.017829	4.838598
0.106833	4.838526	-0.017828	4.838559
0.107000	4.838487	-0.017828	4.838520
0.107167	4.838448	-0.017828	4.838481
0.107333	4.838409	-0.017828	4.838442
0.107500	4.838370	-0.017827	4.838403
0.107667	4.838331	-0.017827	4.838364
0.107833	4.838292	-0.017827	4.838325
0.108000	4.838253	-0.017827	4.838286
0.108167	4.838214	-0.017826	4.838247
0.108333	4.838175	-0.017826	4.838208
0.108500	4.838136	-0.017826	4.838168
0.108667	4.838097	-0.017826	4.838129
0.108833	4.838057	-0.017825	4.838090
0.109000	4.838018	-0.017825	4.838051
0.109167	4.837979	-0.017825	4.838012
0.109333	4.837940	-0.017825	4.837973
0.109500	4.837901	-0.017824	4.837934
0.109667	4.837862	-0.017824	4.837895
0.109833	4.837823	-0.017824	4.837856
0.110000	4.837784	-0.017824	4.837817
0.110167	4.837745	-0.017823	4.837778
0.110333	4.837706	-0.017823	4.837739
0.110500	4.837667	-0.017823	4.837699
