# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.000166666666667	-113617334436155258734915589343474414731845959680.000000000000000	-153704906054675845217047119747761706022993920.000000000000000	2.606088991622593e-44	3.109371580265341e-01
0.118666666666667	-58.211037503219720	-0.074521875224814	6.760578945981122e-02	2.797288002402017e-01
0.118833333333333	-58.047312388122063	-0.074307163239054	6.769673235777969e-02	2.797002690706314e-01
0.119000000000000	-57.884389230823609	-0.074093510683409	6.778753445739079e-02	2.796717800363616e-01
0.119166666666667	-57.722262659208425	-0.073880910434319	6.787819590312689e-02	2.796433330862786e-01
0.119333333333333	-57.560927346284692	-0.073669355428214	6.796871684006231e-02	2.796149281692659e-01
0.119500000000000	-57.400378009730708	-0.073458838660902	6.805909741385509e-02	2.795865652342040e-01
0.119666666666667	-57.240609411431215	-0.073249353186942	6.814933777074402e-02	2.795582442299911e-01
0.119833333333333	-57.081616357053001	-0.073040892119094	6.823943805753530e-02	2.795299651055213e-01
0.120000000000000	-56.923393695601941	-0.072833448627724	6.832939842159582e-02	2.795017278096894e-01
0.120166666666667	-56.765936318978436	-0.072627015940199	6.841921901085153e-02	2.794735322914163e-01
0.120333333333333	-56.609239161572852	-0.072421587340375	6.850889997376959e-02	2.794453784996078e-01
0.120500000000000	-56.453297199819232	-0.072217156167973	6.859844145936120e-02	2.794172663831975e-01
0.120666666666667	-56.298105451800767	-0.072013715818081	6.868784361716421e-02	2.793891958911076e-01
0.120833333333333	-56.143658976813867	-0.071811259740550	6.877710659724528e-02	2.793611669722875e-01
0.121000000000000	-55.989952874980738	-0.071609781439497	6.886623055018508e-02	2.793331795756851e-01
0.121166666666667	-55.836982286837109	-0.071409274472747	6.895521562707298e-02	2.793052336502551e-01
0.121333333333333	-55.684742392925129	-0.071209732451285	6.904406197950392e-02	2.792773291449761e-01
0.121500000000000	-55.533228413419357	-0.071011149038777	6.913276975956388e-02	2.792494660088215e-01
0.121666666666667	-55.382435607714748	-0.070813517950998	6.922133911983124e-02	2.792216441907940e-01
0.121833333333333	-55.232359274059780	-0.070616832955364	6.930977021336182e-02	2.791938636398950e-01
0.122000000000000	-55.082994749168966	-0.070421087870406	6.939806319368637e-02	2.791661243051422e-01
0.122166666666667	-54.934337407837638	-0.070226276565251	6.948621821480366e-02	2.791384261355706e-01
0.122333333333333	-54.786382662588193	-0.070032392959172	6.957423543117049e-02	2.791107690802210e-01
0.122500000000000	-54.639125963281550	-0.069839431021044	6.966211499770026e-02	2.790831530881610e-01
0.122666666666667	-54.492562796774244	-0.069647384768913	6.974985706974934e-02	2.790555781084589e-01
0.122833333333333	-54.346688686537016	-0.069456248269465	6.983746180311779e-02	2.790280440902133e-01
0.123000000000000	-54.201499192324545	-0.069266015637611	6.992492935403362e-02	2.790005509825173e-01
0.123166666666667	-54.056989909792474	-0.069076681035950	7.001225987915841e-02	2.789730987345078e-01
0.123333333333333	-53.913156470176321	-0.068888238674360	7.009945353557011e-02	2.789456872953232e-01
0.123500000000000	-53.769994539942469	-0.068700682809538	7.018651048075910e-02	2.789183166141140e-01
0.123666666666667	-53.627499820433748	-0.068514007744506	7.027343087262738e-02	2.788909866400653e-01
0.123833333333333	-53.485668047551798	-0.068328207828210	7.036021486947399e-02	2.788636973223649e-01
0.124000000000000	-53.344494991416864	-0.068143277455059	7.044686262999404e-02	2.788364486102245e-01
0.124166666666667	-53.203976456030579	-0.067959211064468	7.053337431327310e-02	2.788092404528829e-01
0.124333333333333	-53.064108278970588	-0.067776003140470	7.061975007877646e-02	2.787820727995881e-01
0.124500000000000	-52.924886331046669	-0.067593648211236	7.070599008634724e-02	2.787549455996148e-01
0.124666666666667	-52.786306516005145	-0.067412140848705	7.079209449619740e-02	2.787278588022529e-01
0.124833333333333	-52.648364770193304	-0.067231475668115	7.087806346890622e-02	2.787008123568263e-01
0.125000000000000	-52.511057062267810	-0.067051647327633	7.096389716540764e-02	2.786738062126660e-01
0.125166666666667	-52.374379392876618	-0.066872650527924	7.104959574698899e-02	2.786468403191296e-01
0.125333333333333	-52.238327794351342	-0.066694480011735	7.113515937528578e-02	2.786199146256040e-01
0.125500000000000	-52.102898330421873	-0.066517130563531	7.122058821227139e-02	2.785930290814879e-01
0.125666666666667	-51.968087095899271	-0.066340597009056	7.130588242025781e-02	2.785661836362179e-01
0.125833333333333	-51.833890216402459	-0.066164874214984	7.139104216188243e-02	2.785393782392395e-01
0.126000000000000	-51.700303848047538	-0.065989957088494	7.147606760011039e-02	2.785126128400387e-01
0.126166666666667	-51.567324177176519	-0.065815840576916	7.156095889822077e-02	2.784858873881102e-01
0.126333333333333	-51.434947420066719	-0.065642519667345	7.164571621980657e-02	2.784592018329799e-01
0.126500000000000	-51.303169822641017	-0.065469989386244	7.173033972877007e-02	2.784325561242078e-01
0.126666666666667	-51.171987660207657	-0.065298244799119	7.181482958931178e-02	2.784059502113673e-01
0.126833333333333	-51.041397237169709	-0.065127281010110	7.189918596592923e-02	2.783793840440616e-01
0.127000000000000	-50.911394886749984	-0.064957093161633	7.198340902341524e-02	2.783528575719381e-01
0.127166666666667	-50.781976970745689	-0.064787676434064	7.206749892684021e-02	2.783263707446409e-01
0.127333333333333	-50.653139879232282	-0.064619026045330	7.215145584156224e-02	2.782999235118703e-01
0.127500000000000	-50.524880030324718	-0.064451137250602	7.223527993320868e-02	2.782735158233324e-01
0.127666666666667	-50.397193869895323	-0.064284005341910	7.231897136768116e-02	2.782471476287787e-01
0.127833333333333	-50.270077871336662	-0.064117625647838	7.240253031114246e-02	2.782208188779753e-01
0.128000000000000	-50.143528535286209	-0.063951993533146	7.248595693001887e-02	2.781945295207323e-01
0.128166666666667	-50.017542389392323	-0.063787104398472	7.256925139098945e-02	2.781682795068818e-01
0.128333333333333	-49.892115988055496	-0.063622953679977	7.265241386098112e-02	2.781420687862788e-01
0.128500000000000	-49.767245912175857	-0.063459536849011	7.273544450716975e-02	2.781158973088244e-01
0.128666666666667	-49.642928768924760	-0.063296849411815	7.281834349696717e-02	2.780897650244353e-01
0.128833333333333	-49.519161191484886	-0.063134886909166	7.290111099802405e-02	2.780636718830736e-01
0.129000000000000	-49.395939838827271	-0.062973644916090	7.298374717821865e-02	2.780376178347225e-01
0.129166666666667	-49.273261395467465	-0.062813119041534	7.306625220565457e-02	2.780116028293963e-01
0.129333333333333	-49.151122571224500	-0.062653304928037	7.314862624865912e-02	2.779856268171523e-01
0.129500000000000	-49.029520101007261	-0.062494198251463	7.323086947577163e-02	2.779596897480647e-01
0.129666666666667	-48.908450744564316	-0.062335794720648	7.331298205574757e-02	2.779337915722579e-01
0.129833333333333	-48.787911286278085	-0.062178090077147	7.339496415754579e-02	2.779079322398759e-01
0.130000000000000	-48.667898534920621	-0.062021080094890	7.347681595033017e-02	2.778821117011061e-01
0.130166666666667	-48.548409323448798	-0.061864760579923	7.355853760346069e-02	2.778563299061628e-01
0.130333333333333	-48.429440508777716	-0.061709127370103	7.364012928648939e-02	2.778305868052893e-01
0.130500000000000	-48.310988971556368	-0.061554176334792	7.372159116916244e-02	2.778048823487825e-01
0.130666666666667	-48.193051615969005	-0.061399903374608	7.380292342140521e-02	2.777792164869536e-01
0.130833333333333	-48.075625369508836	-0.061246304421109	7.388412621332585e-02	2.777535891701580e-01
0.131000000000000	-47.958707182767065	-0.061093375436518	7.396519971521027e-02	2.777280003487932e-01
0.131166666666667	-47.842294029234961	-0.060941112413461	7.404614409751460e-02	2.777024499732866e-01
0.131333333333333	-47.726382905094595	-0.060789511374692	7.412695953086157e-02	2.776769379940979e-01
0.131500000000000	-47.610970829012827	-0.060638568372813	7.420764618603700e-02	2.776514643617223e-01
0.131666666666667	-47.496054841933216	-0.060488279489996	7.428820423398839e-02	2.776260290267007e-01
0.131833333333333	-47.381632006891543	-0.060338640837746	7.436863384581584e-02	2.776006319396015e-01
0.132000000000000	-47.267699408801048	-0.060189648556603	7.444893519277328e-02	2.775752730510409e-01
0.132166666666667	-47.154254154272224	-0.060041298815918	7.452910844625936e-02	2.775499523116637e-01
0.132333333333333	-47.041293371412034	-0.059893587813572	7.460915377781530e-02	2.775246696721509e-01
0.132500000000000	-46.928814209627081	-0.059746511775719	7.468907135912473e-02	2.774994250832341e-01
0.132666666666667	-46.816813839448452	-0.059600066956558	7.476886136200214e-02	2.774742184956670e-01
0.132833333333333	-46.705289452327209	-0.059454249638053	7.484852395839833e-02	2.774490498602610e-01
0.133000000000000	-46.594238260466398	-0.059309056129715	7.492805932038587e-02	2.774239191278450e-01
0.133166666666667	-46.483657496618764	-0.059164482768330	7.500746762016709e-02	2.773988262493101e-01
0.133333333333333	-46.373544413922359	-0.059020525917743	7.508674903005921e-02	2.773737711755683e-01
0.133500000000000	-46.263896285712067	-0.058877181968608	7.516590372249573e-02	2.773487538575720e-01
0.133666666666667	-46.154710405335678	-0.058734447338134	7.524493187002757e-02	2.773237742463324e-01
0.133833333333333	-46.045984085993339	-0.058592318469890	7.532383364530822e-02	2.772988322928777e-01
0.134000000000000	-45.937714660545341	-0.058450791833527	7.540260922110199e-02	2.772739279482980e-01
0.134166666666667	-45.829899481356394	-0.058309863924591	7.548125877026844e-02	2.772490611637011e-01
0.134333333333333	-45.722535920108118	-0.058169531264258	7.555978246577137e-02	2.772242318902591e-01
0.134500000000000	-45.615621367644988	-0.058029790399144	7.563818048066576e-02	2.771994400791732e-01
0.134666666666667	-45.509153233799541	-0.057890637901058	7.571645298809565e-02	2.771746856816798e-01
0.134833333333333	-45.403128947225947	-0.057752070366793	7.579460016129519e-02	2.771499686490666e-01
0.135000000000000	-45.297545955231550	-0.057614084417887	7.587262217358439e-02	2.771252889326704e-01
0.135166666666667	-45.192401723625763	-0.057476676700437	7.595051919836038e-02	2.771006464838572e-01
0.135333333333333	-45.087693736555485	-0.057339843884880	7.602829140909899e-02	2.770760412540413e-01
0.135500000000000	-44.983419496343888	-0.057203582665767	7.610593897934840e-02	2.770514731946739e-01
0.135666666666667	-44.879576523327135	-0.057067889761551	7.618346208273014e-02	2.770269422572592e-01
0.135833333333333	-44.776162355713119	-0.056932761914406	7.626086089292898e-02	2.770024483933299e-01
0.136000000000000	-44.673174549409378	-0.056798195889986	7.633813558369977e-02	2.769779915544843e-01
0.136166666666667	-44.570610677888801	-0.056664188477260	7.641528632885172e-02	2.769535716923404e-01
0.136333333333333	-44.468468332019819	-0.056530736488272	7.649231330225611e-02	2.769291887585763e-01
0.136500000000000	-44.366745119932161	-0.056397836757974	7.656921667783726e-02	2.769048427049089e-01
0.136666666666667	-44.265438666862413	-0.056265486144019	7.664599662956938e-02	2.768805334830940e-01
0.136833333333333	-44.164546615000362	-0.056133681526545	7.672265333147779e-02	2.768562610449421e-01
0.137000000000000	-44.064066623359237	-0.056002419808024	7.679918695763075e-02	2.768320253423003e-01
0.137166666666667	-43.963996367613751	-0.055871697913023	7.687559768214121e-02	2.768078263270696e-01
0.137333333333333	-43.864333539973967	-0.055741512788054	7.695188567915791e-02	2.767836639511839e-01
0.137500000000000	-43.765075849036405	-0.055611861401370	7.702805112286716e-02	2.767595381666277e-01
0.137666666666667	-43.666221019639342	-0.055482740742768	7.710409418749078e-02	2.767354489254388e-01
0.137833333333333	-43.567766792738144	-0.055354147823434	7.718001504727725e-02	2.767113961796877e-01
0.138000000000000	-43.469710925252826	-0.055226079675725	7.725581387650520e-02	2.766873798815008e-01
0.138166666666667	-43.372051189948159	-0.055098533353029	7.733149084947554e-02	2.766633999830423e-01
0.138333333333333	-43.274785375283660	-0.054971505929546	7.740704614051355e-02	2.766394564365320e-01
0.138500000000000	-43.177911285294456	-0.054844994500144	7.748247992396130e-02	2.766155491942289e-01
0.138666666666667	-43.081426739454610	-0.054718996180176	7.755779237417669e-02	2.765916782084374e-01
0.138833333333333	-42.985329572543054	-0.054593508105290	7.763298366553192e-02	2.765678434315122e-01
0.139000000000000	-42.889617634514794	-0.054468527431267	7.770805397241096e-02	2.765440448158591e-01
0.139166666666667	-42.794288790379455	-0.054344051333860	7.778300346920567e-02	2.765202823139308e-01
0.139333333333333	-42.699340920075906	-0.054220077008631	7.785783233030927e-02	2.764965558782135e-01
0.139500000000000	-42.604771918334286	-0.054096601670752	7.793254073012266e-02	2.764728654612592e-01
0.139666666666667	-42.510579694566207	-0.053973622554878	7.800712884304331e-02	2.764492110156553e-01
0.139833333333333	-42.416762172736570	-0.053851136914965	7.808159684346531e-02	2.764255924940346e-01
0.140000000000000	-42.323317291234900	-0.053729142024101	7.815594490578218e-02	2.764020098490941e-01
0.140166666666667	-42.230243002769437	-0.053607635174369	7.823017320437426e-02	2.763784630335599e-01
0.140333333333333	-42.137537274232127	-0.053486613676660	7.830428191361656e-02	2.763549520002242e-01
0.140500000000000	-42.045198086594295	-0.053366074860544	7.837827120786702e-02	2.763314767019120e-01
0.140666666666667	-41.953223434783164	-0.053246016074102	7.845214126146975e-02	2.763080370915025e-01
0.140833333333333	-41.861611327561179	-0.053126434683757	7.852589224875317e-02	2.762846331219306e-01
0.141000000000000	-41.770359787424075	-0.053007328074157	7.859952434402253e-02	2.762612647461694e-01
0.141166666666667	-41.679466850471890	-0.052888693647981	7.867303772156321e-02	2.762379319172507e-01
0.141333333333333	-41.588930566312618	-0.052770528825834	7.874643255563182e-02	2.762146345882419e-01
0.141500000000000	-41.498748997934375	-0.052652831046058	7.881970902046334e-02	2.761913727122795e-01
0.141666666666667	-41.408920221609163	-0.052535597764616	7.889286729025839e-02	2.761681462425331e-01
0.141833333333333	-41.319442326778198	-0.052418826454936	7.896590753918594e-02	2.761449551322228e-01
0.142000000000000	-41.230313415935814	-0.052302514607752	7.903882994138473e-02	2.761217993346324e-01
0.142166666666667	-41.141531604538533	-0.052186659730994	7.911163467095150e-02	2.760986788030763e-01
0.142333333333333	-41.053095020881621	-0.052071259349610	7.918432190194950e-02	2.760755934909373e-01
0.142500000000000	-40.965001806007943	-0.051956311005459	7.925689180839722e-02	2.760525433516350e-01
0.142666666666667	-40.877250113598074	-0.051841812257158	7.932934456427107e-02	2.760295283386429e-01
0.142833333333333	-40.789838109864525	-0.051727760679938	7.940168034350190e-02	2.760065484054843e-01
0.143000000000000	-40.702763973448828	-0.051614153865510	7.947389931997555e-02	2.759836035057414e-01
0.143166666666667	-40.616025895327171	-0.051500989421945	7.954600166752641e-02	2.759606935930406e-01
0.143333333333333	-40.529622078709682	-0.051388264973535	7.961798755993572e-02	2.759378186210543e-01
0.143500000000000	-40.443550738930951	-0.051275978160648	7.968985717093362e-02	2.759149785435148e-01
0.143666666666667	-40.357810103363821	-0.051164126639612	7.976161067419223e-02	2.758921733141984e-01
0.143833333333333	-40.272398411316720	-0.051052708082586	7.983324824332511e-02	2.758694028869301e-01
0.144000000000000	-40.187313913931183	-0.050941720177411	7.990477005189036e-02	2.758466672156015e-01
0.144166666666667	-40.102554874099661	-0.050831160627515	7.997617627337895e-02	2.758239662541378e-01
0.144333333333333	-40.018119566355878	-0.050721027151754	8.004746708122120e-02	2.758012999565270e-01
0.144500000000000	-39.934006276795456	-0.050611317484319	8.011864264877896e-02	2.757786682767997e-01
0.144666666666667	-39.850213302968426	-0.050502029374581	8.018970314934959e-02	2.757560711690497e-01
0.144833333333333	-39.766738953799929	-0.050393160586998	8.026064875615845e-02	2.757335085874152e-01
0.145000000000000	-39.683581549493848	-0.050284708900979	8.033147964235838e-02	2.757109804860828e-01
0.145166666666667	-39.600739421436391	-0.050176672110753	8.040219598103072e-02	2.756884868192986e-01
0.145333333333333	-39.518210912119483	-0.050069048025282	8.047279794518005e-02	2.756660275413560e-01
0.145500000000000	-39.435994375037381	-0.049961834468101	8.054328570773561e-02	2.756436026066072e-01
0.145666666666667	-39.354088174612245	-0.049855029277242	8.061365944154542e-02	2.756212119694494e-01
0.145833333333333	-39.272490686100711	-0.049748630305097	8.068391931937653e-02	2.755988555843319e-01
0.146000000000000	-39.191200295502333	-0.049642635418295	8.075406551391566e-02	2.755765334057646e-01
0.146166666666667	-39.110215399487912	-0.049537042497617	8.082409819776140e-02	2.755542453882973e-01
0.146333333333333	-39.029534405298208	-0.049431849437850	8.089401754343095e-02	2.755319914865491e-01
0.146500000000000	-38.949155730676919	-0.049327054147707	8.096382372334797e-02	2.755097716551726e-01
0.146666666666667	-38.869077803771354	-0.049222654549688	8.103351690985242e-02	2.754875858488935e-01
0.146833333333333	-38.789299063067430	-0.049118648580003	8.110309727518670e-02	2.754654340224694e-01
0.147000000000000	-38.709817957287046	-0.049015034188422	8.117256499150583e-02	2.754433161307301e-01
0.147166666666667	-38.630632945324646	-0.048911809338200	8.124192023086780e-02	2.754212321285506e-01
0.147333333333333	-38.551742496165201	-0.048808972005973	8.131116316523282e-02	2.753991819708541e-01
0.147500000000000	-38.473145088793261	-0.048706520181623	8.138029396646615e-02	2.753771656126273e-01
0.147666666666667	-38.394839212127673	-0.048604451868203	8.144931280633077e-02	2.753551830089011e-01
0.147833333333333	-38.316823364937893	-0.048502765081823	8.151821985648771e-02	2.753332341147570e-01
0.148000000000000	-38.239096055761520	-0.048401457851535	8.158701528850118e-02	2.753113188853503e-01
0.148166666666667	-38.161655802840127	-0.048300528219256	8.165569927382311e-02	2.752894372758625e-01
0.148333333333333	-38.084501134029608	-0.048199974239642	8.172427198380611e-02	2.752675892415511e-01
0.148500000000000	-38.007630586739298	-0.048099793980014	8.179273358969099e-02	2.752457747377122e-01
0.148666666666667	-37.931042707842520	-0.047999985520229	8.186108426261281e-02	2.752239937197061e-01
0.148833333333333	-37.854736053616329	-0.047900546952613	8.192932417359537e-02	2.752022461429441e-01
0.149000000000000	-37.778709189662494	-0.047801476381848	8.199745349354842e-02	2.751805319628838e-01
0.149166666666667	-37.702960690829884	-0.047702771924866	8.206547239327179e-02	2.751588511350483e-01
0.149333333333333	-37.627489141154997	-0.047604431710780	8.213338104344737e-02	2.751372036150038e-01
0.149500000000000	-37.552293133777119	-0.047506453880760	8.220117961464457e-02	2.751155893583833e-01
