# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.201366666666667	0.368969413022586	-0.194343415189693	2.253077719406467e+00	6.155768122307076e+02
0.201533333333333	0.367458834411182	-0.194082189095123	2.250689438289486e+00	6.146399962191688e+02
0.201700000000000	0.365952995212272	-0.193821622907695	2.248297538601190e+00	6.137034886952511e+02
0.201866666666667	0.364451877067488	-0.193561714279629	2.245902077519259e+00	6.127673022481117e+02
0.202033333333333	0.362955461685032	-0.193302460873223	2.243503111930278e+00	6.118314493702600e+02
0.202200000000000	0.361463730860160	-0.193043860361376	2.241100698412069e+00	6.108959424530406e+02
0.202366666666667	0.359976666496629	-0.192785910428130	2.238694893215745e+00	6.099607937820539e+02
0.202533333333333	0.358494250555417	-0.192528608767216	2.236285752307253e+00	6.090260155487860e+02
0.202700000000000	0.357016465110805	-0.192271953083555	2.233873331321232e+00	6.080916198383385e+02
0.202866666666667	0.355543292303268	-0.192015941091916	2.231457685598905e+00	6.071576186400551e+02
0.203033333333333	0.354074714355290	-0.191760570517306	2.229038870174743e+00	6.062240238441850e+02
0.203200000000000	0.352610713597488	-0.191505839095654	2.226616939755434e+00	6.052908472364625e+02
0.203366666666667	0.351151272414126	-0.191251744572253	2.224191948762928e+00	6.043581005101119e+02
0.203533333333333	0.349696373301573	-0.190998284703343	2.221763951287835e+00	6.034257952534682e+02
0.203700000000000	0.348245998810987	-0.190745457254484	2.219333001134385e+00	6.024939429624905e+02
0.203866666666667	0.346800131604271	-0.190493260002051	2.216899151776290e+00	6.015625550290583e+02
0.204033333333333	0.345358754389167	-0.190241690731406	2.214462456407119e+00	6.006316427549389e+02
0.204200000000000	0.343921849998181	-0.189990747239041	2.212022967879016e+00	5.997012173354402e+02
0.204366666666667	0.342489401323306	-0.189740427330721	2.209580738753077e+00	5.987712898733661e+02
0.204533333333333	0.341061391322104	-0.189490728821624	2.207135821294241e+00	5.978418713779044e+02
0.204700000000000	0.339637803062202	-0.189241649537522	2.204688267437392e+00	5.969129727557209e+02
0.204866666666667	0.338218619661133	-0.188993187313080	2.202238128832908e+00	5.959846048235774e+02
0.205033333333333	0.336803824344452	-0.188745339993420	2.199785456802777e+00	5.950567782967222e+02
0.205200000000000	0.335393400395047	-0.188498105432686	2.197330302378710e+00	5.941295037994814e+02
0.205366666666667	0.333987331174366	-0.188251481494585	2.194872716286045e+00	5.932027918611700e+02
0.205533333333333	0.332585600143413	-0.188005466052930	2.192412748928447e+00	5.922766529122278e+02
0.205700000000000	0.331188190811055	-0.187760056990172	2.189950450425991e+00	5.913510972947790e+02
0.205866666666667	0.329795086792192	-0.187515252198969	2.187485870572570e+00	5.904261352513877e+02
0.206033333333333	0.328406271757969	-0.187271049580773	2.185019058872395e+00	5.895017769351815e+02
0.206200000000000	0.327021729453803	-0.187027447046282	2.182550064526745e+00	5.885780324065291e+02
0.206366666666667	0.325641443723571	-0.186784442516083	2.180078936417000e+00	5.876549116287255e+02
0.206533333333333	0.324265398457966	-0.186542033919175	2.177605723141604e+00	5.867324244782164e+02
0.206700000000000	0.322893577649427	-0.186300219194455	2.175130472977210e+00	5.858105807343767e+02
0.206866666666667	0.321525965339299	-0.186058996289220	2.172653233916237e+00	5.848893900898849e+02
0.207033333333333	0.320162545668842	-0.185818363160539	2.170174053631213e+00	5.839688621413681e+02
0.207200000000000	0.318803302832557	-0.185578317773924	2.167692979507724e+00	5.830490063985221e+02
